scenario,proportion,method,seed,rmse,mae,wasserstein_mean,wasserstein_std,mean_shift_mean,mean_shift_std,variance_retention_mean,variance_retention_std,n_cols_with_masking,corr_frob,n_masked_cells
MCAR,0.1,Mean,0,1.0328629493680566,0.6418410824574412,0.6423665702048973,0.0507063017013048,0.0633272545718379,0.0485760142937259,2.0339569200279385e-36,5.2726603718166783e-36,64,2.10046097752503,14891
MCAR,0.1,Mean,1,1.0043361074069554,0.6312451323021998,0.631535495838781,0.0392665383409957,0.0417933864156457,0.0369371081670484,6.667903194558405e-37,1.310178963026368e-36,64,1.9793124124677228,14604
MCAR,0.1,Mean,2,0.99692323387548,0.6285716492101633,0.6287621856184971,0.049874640151568,0.0498522351954142,0.0403013132499312,4.1097427138701286e-36,1.4206253329730683e-35,64,1.973426232439856,14728
MCAR,0.1,kNN,0,0.254329154901692,0.1346085963745162,0.0527232236621104,0.0174687827114494,0.0266413100506378,0.014190909401242,0.8592732913122063,0.0691299799065477,64,0.1870877061964254,14891
MCAR,0.1,kNN,1,0.2405640319534001,0.128908854783382,0.0547735812719007,0.0259787687108096,0.0261224640606707,0.0138616112551263,0.8623890901964989,0.079980352643303,64,0.175602151564773,14604
MCAR,0.1,kNN,2,0.242697437670168,0.130506795783005,0.0523302366232162,0.0241568337483478,0.0213132760251821,0.0135683879315614,0.8636562913973918,0.0875737605050639,64,0.1722265308193949,14728
MCAR,0.1,MICE,0,0.1759608206453052,0.0951116285713036,0.0348499958465041,0.0206726611880994,0.0082014327675476,0.0071840303433076,0.9727478112238184,0.0708374704544343,64,0.1400431632267386,14891
MCAR,0.1,MICE,1,0.1726440563742996,0.0926545161589953,0.0351463841409632,0.0261936396746802,0.0080817265608557,0.0067972529960391,0.9736116089998186,0.0796919851028256,64,0.1333260505897699,14604
MCAR,0.1,MICE,2,0.1712673494045034,0.0934068770622064,0.0351967418809102,0.0247240482195366,0.0072898140205922,0.0058366864091627,0.96702936051538,0.0768004357747452,64,0.1400890328023194,14728
MCAR,0.1,SoftImpute,0,0.2064569764338108,0.1117910212257531,0.0657827161474545,0.0414020589121802,0.0103018257306005,0.0088168217074972,0.819461930936272,0.1126586474093817,64,0.1796524699882151,14891
MCAR,0.1,SoftImpute,1,0.199723851468809,0.1085472357685721,0.0638433514473318,0.0470781593201104,0.0078510889637629,0.0074502006906296,0.8264561724587833,0.1126517048224848,64,0.1672338101695702,14604
MCAR,0.1,SoftImpute,2,0.2066549313988183,0.1102407931728619,0.0664158913665663,0.0483120162217969,0.0084674479796412,0.0074308660106441,0.8207539627997001,0.1168575069645433,64,0.1954799128157625,14728
MCAR,0.1,HyperImpute,0,0.1760007659337829,0.0949133153423889,0.0341519340219199,0.0185000929188162,0.0081075935648847,0.0069097126874726,0.9696033462227428,0.0677791418228613,64,0.1398231360959913,14891
MCAR,0.1,HyperImpute,1,0.1740169556020733,0.0925692711973737,0.0344377452039972,0.0235378140182189,0.0080331087628243,0.0065545398059591,0.9718798635174204,0.0743611956014153,64,0.1311607016231733,14604
MCAR,0.1,HyperImpute,2,0.172133489713502,0.0932966234885592,0.0345130110801568,0.0231248970452925,0.0072319078338859,0.005612669889525,0.9663516838801098,0.0732307555867935,64,0.1409621982077674,14728
MCAR,0.1,DiffPuter,0,0.2538189130151621,0.1266710368196204,0.0564631223975744,0.0208519694067198,0.0273192038426181,0.0244796793993909,1.0552464240319104,0.1106746424447147,64,0.1946848315629193,14891
MCAR,0.1,DiffPuter,1,0.2576397170114272,0.1258530887715923,0.0582238557837937,0.0194633185290631,0.0292938568400444,0.0241447083648655,1.0513061878831156,0.1360839535277039,64,0.1846397541896766,14604
MCAR,0.1,DiffPuter,2,0.2694576581965256,0.1304541308440659,0.0604636983602785,0.0214238855852793,0.0372871409847644,0.0271230506779611,1.086318682453635,0.166299717851009,64,0.1977272455756588,14728
MCAR,0.1,GRAPE,0,0.2463533003415026,0.1565342426861316,0.0720558650368992,0.0254573334604088,0.0477900722442727,0.0260345422886235,0.9341835154375844,0.0905212158313549,64,0.2962105561168425,14891
MCAR,0.1,GRAPE,1,0.2562286674577678,0.1614338380467023,0.0638733623862205,0.0259169342424234,0.0370476681992346,0.0224020435148365,0.9235553511623896,0.087831870479241,64,0.3011532330594582,14604
MCAR,0.1,GRAPE,2,0.2667857826247382,0.1768882432170151,0.0827227763419445,0.0281548706407786,0.0252911493863866,0.0174867899529111,0.9195630811714732,0.0822915938634348,64,0.3833937400286735,14728
MCAR,0.3,Mean,0,1.0018582959491236,0.6307888057388229,0.6308369988384828,0.0302472824963536,0.0369661624727392,0.0297451849667034,6.362067675247301e-36,1.26014166630313e-35,64,5.8132192062947405,44090
MCAR,0.3,Mean,1,0.9963974270365228,0.6294594481178426,0.6295383989132116,0.0311108963347205,0.0331851288834275,0.0288021659857445,3.464162710798228e-36,6.659268453060023e-36,64,5.837387484068613,44182
MCAR,0.3,Mean,2,1.0034472028958756,0.6293568875461109,0.6294207066964044,0.0303338400472761,0.0373692118941215,0.0263295576423005,6.046064545278283e-36,1.8535713951731289e-35,64,5.806211642110712,44179
MCAR,0.3,kNN,0,0.3052894372200007,0.1556096183365015,0.053467222832089,0.0200438175098805,0.0301001104823984,0.0121807679576681,0.8129653847934363,0.0711716606678033,64,0.5447771465922432,44090
MCAR,0.3,kNN,1,0.2927882717621351,0.1526692125100338,0.0537752464308801,0.0186062461228557,0.0311435435005501,0.011520592955297,0.8176391625097452,0.0559771097360209,64,0.4909923399909593,44182
MCAR,0.3,kNN,2,0.2982881531727746,0.1525698854404137,0.0531001404139131,0.0219363058057382,0.0295868552328936,0.0121928592084192,0.8109446324176994,0.0700336596494589,64,0.4989080749595136,44179
MCAR,0.3,MICE,0,0.2617119088934908,0.1388088394556248,0.0487976191711486,0.0206536240046573,0.0075554062347922,0.0067933966177886,0.8878017129478307,0.0652781223595382,64,0.3700666065505421,44090
MCAR,0.3,MICE,1,0.2491261823081074,0.1372479970499807,0.0474995084921725,0.014783647641074,0.007738409834391,0.0059200137870699,0.9049513683317896,0.0541381707326285,64,0.3381713421443519,44182
MCAR,0.3,MICE,2,0.2408089327015704,0.1320525601881648,0.0468482193377752,0.0164310093150433,0.0085677864792876,0.0105626339856849,0.8958812910928914,0.0475329200357885,64,0.3560484829425647,44179
MCAR,0.3,SoftImpute,0,0.2521971708005504,0.1351364307233871,0.0775641651188415,0.0433320436756718,0.0059527243437592,0.0054621900318442,0.7665394715551836,0.1040028332133764,64,0.5704871052992109,44090
MCAR,0.3,SoftImpute,1,0.2419230900766217,0.1332222917098727,0.0767313234066956,0.0430539137706908,0.0049639764684007,0.004025270792521,0.7718012596706667,0.0985030193296736,64,0.5016472967693176,44182
MCAR,0.3,SoftImpute,2,0.2459934384873868,0.133370097768876,0.0777426014022436,0.0463399183928031,0.0065684639208978,0.0051504312808499,0.7673114909175563,0.1108927406026843,64,0.5960284282456327,44179
