mechanism,proportion,method,cached,n_folds,secs,n_runs,top1_acc,top1_acc_std,top2_acc,top2_acc_std,top3_acc,top3_acc_std,top4_acc,top4_acc_std,top5_acc,top5_acc_std
MCAR,0.1,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131002,0.6233638129970357,0.04289306530998467,0.7628928399728259,0.04306901203797798,0.8371579466468354,0.03837201294369786,0.8827985105631464,0.03367131392750806
MCAR,0.3,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131002,0.6233638129970357,0.04289306530998467,0.7628928399728259,0.04306901203797798,0.8371579466468354,0.03837201294369786,0.8827985105631464,0.03367131392750806
MCAR,0.5,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131002,0.6233638129970357,0.04289306530998467,0.7628928399728259,0.04306901203797798,0.8371579466468354,0.03837201294369786,0.8827985105631464,0.03367131392750806
MAR,0.1,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131002,0.6233638129970357,0.04289306530998467,0.7628928399728259,0.04306901203797798,0.8371579466468354,0.03837201294369786,0.8827985105631464,0.03367131392750806
MAR,0.3,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131002,0.6233638129970357,0.04289306530998467,0.7628928399728259,0.04306901203797798,0.8371579466468354,0.03837201294369786,0.8827985105631464,0.03367131392750806
MAR,0.5,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131002,0.6233638129970357,0.04289306530998467,0.7628928399728259,0.04306901203797798,0.8371579466468354,0.03837201294369786,0.8827985105631464,0.03367131392750806
MNAR,0.1,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131002,0.6233638129970357,0.04289306530998467,0.7628928399728259,0.04306901203797798,0.8371579466468354,0.03837201294369786,0.8827985105631464,0.03367131392750806
MNAR,0.3,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131002,0.6233638129970357,0.04289306530998467,0.7628928399728259,0.04306901203797798,0.8371579466468354,0.03837201294369786,0.8827985105631464,0.03367131392750806
MNAR,0.5,clean,False,3,77.5,9,0.4006243832084257,0.03454056065131002,0.6233638129970357,0.04289306530998467,0.7628928399728259,0.04306901203797798,0.8371579466468354,0.03837201294369786,0.8827985105631464,0.03367131392750806
MCAR-Row,0.1,clean,3,False,77.5,9,0.4006243832084257,0.03454056065131002,0.6233638129970357,0.04289306530998467,0.7628928399728259,0.04306901203797798,0.8371579466468354,0.03837201294369786,0.8827985105631464,0.03367131392750806
MCAR-Row,0.3,clean,3,False,77.5,9,0.4006243832084257,0.03454056065131002,0.6233638129970357,0.04289306530998467,0.7628928399728259,0.04306901203797798,0.8371579466468354,0.03837201294369786,0.8827985105631464,0.03367131392750806
MCAR-Row,0.5,clean,3,False,77.5,9,0.4006243832084257,0.03454056065131002,0.6233638129970357,0.04289306530998467,0.7628928399728259,0.04306901203797798,0.8371579466468354,0.03837201294369786,0.8827985105631464,0.03367131392750806
MCAR,0.1,mean,True,3,70.1,9,0.39930581339236987,0.02899913209154376,0.6197946217925293,0.03664356233800533,0.7528357055761866,0.033445666020277015,0.8354473572455733,0.030733113590272008,0.8831469254873734,0.03015128660578957
MCAR,0.3,mean,True,3,71.3,9,0.3781259765091067,0.039397042239738875,0.595970383140974,0.043517800367349715,0.7341705616342541,0.03752564120277178,0.8171324675214087,0.03813865382414116,0.8704370084534295,0.03820172926161444
MCAR,0.5,mean,True,3,72.8,9,0.3465623969553752,0.039818515377063865,0.5568612685838654,0.04267126042254122,0.6977551204855907,0.05049946196767142,0.788552959190921,0.04924746930472071,0.849345732159451,0.04181086402549078
MAR,0.1,mean,True,3,70.8,9,0.3919302744341885,0.039882747872828604,0.609971911541327,0.04371202038666766,0.7485442143437127,0.03616343565398124,0.8329016392163201,0.03471778192218264,0.8775507767653334,0.032489535598808454
MAR,0.3,mean,True,3,63.1,9,0.3631981654653688,0.043031396788274855,0.5724869561281327,0.040943955333866675,0.70879334901621,0.03503242359834897,0.8050262179334291,0.026123330005942375,0.8681210727664,0.023499806158709547
MAR,0.5,mean,True,3,71.9,9,0.32937011070059835,0.0332911507589749,0.5342382078440349,0.041035193186702255,0.6744515250852307,0.039872623573376495,0.7625429552923593,0.03675791716775581,0.8284567547040483,0.029872832413410013
