scenario,proportion,method,seed,rmse,mae,wasserstein_mean,wasserstein_std,mean_shift_mean,mean_shift_std,variance_retention_mean,variance_retention_std,n_cols_with_masking,corr_frob,n_masked_cells
MCAR,0.1,Mean,0,1.004206296838562,0.7894275090749202,0.7893545030098797,0.060373382038370615,0.03651033513182825,0.030673743963791855,1.0747005492674919e-36,2.318898001792181e-36,64,3.6556434349662497,23524
MCAR,0.1,Mean,1,1.0080148454087732,0.7926309891330352,0.792438631134992,0.06381694710233544,0.04383993917304693,0.03055121146572549,1.4115861809090316e-36,4.7068350314120234e-36,64,3.63964216222782,23256
MCAR,0.1,Mean,2,0.9997034482675757,0.786958828895896,0.7873415693354893,0.07361585043582095,0.04415328545335706,0.040435642181537355,1.294900554304708e-36,3.392688236518209e-36,64,3.611365801935193,23365
MCAR,0.3,Mean,0,1.0032212985029658,0.7885324058170354,0.7885646823328898,0.0585725176370775,0.02493901986597749,0.01885603280130984,1.980935477918001e-36,3.7120119085840516e-36,64,10.791127726322438,69785
MCAR,0.3,Mean,1,1.0030738133218144,0.7887013212478904,0.788390356020129,0.06008712817442694,0.027529477394238114,0.018283978983405218,5.1666362204358713e-36,1.258566997704962e-35,64,10.841816487016063,70218
MCAR,0.3,Mean,2,1.0022051135796648,0.7896306124420376,0.7895203396781915,0.06276553824409642,0.029750388513800623,0.021426830378219033,3.2701743481209384e-36,6.654167511195294e-36,64,10.807714066222035,70184
MCAR,0.5,Mean,0,1.002043163232019,0.788215896377924,0.7881846050008038,0.06003175181326107,0.023851677972553456,0.01870418844483269,1.1534012755236009e-35,2.748173160145435e-35,64,17.968195941808723,116819
MCAR,0.5,Mean,1,1.003434328388862,0.7882129038388435,0.7879768056213954,0.06123821248387711,0.029847178800112423,0.02350306083129445,1.3488663863020873e-35,2.1131225540741334e-35,64,17.991408804673718,116827
MCAR,0.5,Mean,2,1.0006134633530053,0.7882597172783112,0.788363008165122,0.060238754400829805,0.02505847558630556,0.020150294786567255,2.0462575441261221e-35,6.734460316559747e-35,64,18.012559828816503,116545
MAR,0.1,Mean,0,0.9906569121784472,0.7845152963100982,0.7845048242035053,0.06524577219492159,0.0453973627049435,0.03209669768558583,1.3156849982587646e-36,2.8488711278391193e-36,64,3.4381803826452204,23448
MAR,0.1,Mean,1,1.0013413256657502,0.7906207861328401,0.790544895992599,0.06459102565138515,0.046164890086698065,0.03167640103780598,9.090475702488846e-37,1.9972316598700244e-36,64,3.4865275507416387,23263
MAR,0.1,Mean,2,0.9949414626750305,0.7863744877127136,0.786645197738997,0.07298624817002022,0.051931608522542944,0.04103342835953955,2.0954636537213167e-36,5.1840760116194904e-36,64,3.4400514804369045,23447
MAR,0.3,Mean,0,0.9956290921139481,0.7870408979995343,0.7871088184741641,0.061148776015757286,0.033787927288891705,0.028184011877594266,3.494305332488129e-36,9.176430381966826e-36,64,10.123249503840027,69778
MAR,0.3,Mean,1,0.9982841940836695,0.7888452176544646,0.7885666346558944,0.06361856377683991,0.03251295458528384,0.023705766974487567,2.5694241134024786e-36,7.338085478957903e-36,64,10.151967821730393,70272
MAR,0.3,Mean,2,0.9954480753751844,0.7885824022180057,0.7885809605483574,0.06514476604602204,0.034611035711180314,0.02645003959647018,6.542515327532229e-36,2.637785993081961e-35,64,10.1644806771514,70139
MAR,0.5,Mean,0,0.9976431909959196,0.7893116766725488,0.7893775588466578,0.06101894611967621,0.033586186320774064,0.02345714451845145,1.5812048024531553e-35,2.2372210530841472e-35,64,16.904785122322007,116757
MAR,0.5,Mean,1,0.9976125196370504,0.7891690075632808,0.7889944874118195,0.061504444377769155,0.030537606277561205,0.022802796463441494,2.85361245116336e-35,6.810587885132039e-35,64,16.833123695836274,116844
MAR,0.5,Mean,2,0.9970252780038364,0.7899659873622401,0.7900362097932587,0.06170602575344075,0.03128457523694624,0.021205009949688478,2.121800411566831e-35,3.8322534580790413e-35,64,17.01128383583163,116538
MNAR,0.1,Mean,0,1.8307857998155128,1.495752611327958,1.4938812372706838,0.19595770889092864,1.2896304924102562,0.2065055455731318,3.655805998678915e-34,4.803333315756495e-34,64,9.094584471626792,23265
MNAR,0.1,Mean,1,1.8291946360296696,1.4983308712487877,1.4963712874529467,0.18380763427408378,1.2933531055096161,0.19234649735210982,3.902047662311473e-34,4.374227659990571e-34,64,9.134993173571354,23421
MNAR,0.1,Mean,2,1.824113320683427,1.4920929923009232,1.4895089722431947,0.18502697227744277,1.2787418751485486,0.20008643342634924,4.146664422724425e-34,6.325948702027341e-34,64,9.115531496032247,23345
