scenario,proportion,method,seed,rmse,mae,wasserstein_mean,wasserstein_std,mean_shift_mean,mean_shift_std,variance_retention_mean,variance_retention_std,n_cols_with_masking,corr_frob,n_masked_cells
MNAR,0.3,Mean,0,1.5499072874907271,1.181232369834953,1.1813417539593085,0.02785149328403649,0.9667424539695911,0.03783992650457775,1.4829345208667814e-33,2.0977862032930952e-33,64,18.132355012303847,69927
MNAR,0.3,Mean,1,1.548547045769438,1.1818314120425388,1.1817223913876909,0.030180367904503787,0.9715750779079899,0.04045112368649248,1.5791117775470557e-33,2.3827077247678157e-33,64,18.2706350810947,70249
MNAR,0.3,Mean,2,1.5436053374211036,1.1769945378772768,1.1770677010176551,0.02818397881988688,0.9600712735916133,0.03570458044214161,1.978760713120852e-33,2.8282081524950544e-33,64,18.098350260895568,69962
MNAR,0.5,Mean,0,1.380776401671092,0.99321059414001,0.9924283173511723,0.08212153292478357,0.7803998147106372,0.06464373094496653,5.8909178879519394e-33,8.495064495142185e-33,64,24.06548600157463,116682
MNAR,0.5,Mean,1,1.3806343200850173,0.9940027853673856,0.9930575888309079,0.0828726664833469,0.7809372085124532,0.0665465807616415,5.738426786708377e-33,6.918874905336805e-33,64,24.081337302643327,116708
MNAR,0.5,Mean,2,1.3788268695521453,0.992861377477014,0.9920415354479121,0.08527426737033077,0.7771682165161204,0.06835368748292775,6.047515010096772e-33,7.668277487805803e-33,64,24.09214303680247,116753
MCAR-Row,0.1,Mean,0,1.0238997200950144,0.8123012356210986,0.8123012356210983,0.04684957855027385,0.04656249740036353,0.027334172920125306,8.309049561182758e-37,1.1659117138351729e-36,64,0.5142114560503331,23296
MCAR-Row,0.1,Mean,1,1.0143267499832416,0.7969703391271097,0.7969703391271097,0.05433977841406823,0.03442944574752776,0.022433438235128327,3.921820098634689e-37,6.23496311976164e-37,64,0.5307870899027374,23296
MCAR-Row,0.1,Mean,2,0.9852600983627084,0.7803736911468205,0.7803736911468204,0.08374886774337004,0.029627561713006373,0.021035741661815432,2.385524645788922e-37,5.333396080658497e-37,64,0.40380247356131543,23296
MCAR-Row,0.3,Mean,0,1.0120079020512578,0.7935860830642747,0.7935860830642747,0.05063819901906455,0.030478784861705455,0.01909733006133615,3.333776416550203e-36,6.382165230555377e-36,64,1.409792464789325,69952
MCAR-Row,0.3,Mean,1,1.0000455475460823,0.7889741652273087,0.7889741652273087,0.06657668570165795,0.01390758316989893,0.012526512566566495,8.045328248560384e-37,2.2660997520510704e-36,64,1.256557119659087,69952
MCAR-Row,0.3,Mean,2,1.0051451632951496,0.7877878809480019,0.787787880948002,0.052186182564926846,0.02303071777443276,0.016080656267647892,1.4194223344717632e-36,2.868688448194533e-36,64,1.337604100947386,69952
MCAR-Row,0.5,Mean,0,1.0005222919988923,0.7828818958856362,0.7828818958856364,0.06250817462347674,0.03300787225624655,0.026063544873325104,1.985041252227861e-35,4.2291227551360356e-35,64,2.2351683696601268,116608
MCAR-Row,0.5,Mean,1,1.0096219508834134,0.7888184491183604,0.7888184491183603,0.061512830181022105,0.030356909806351147,0.012571712738840982,1.557974815466637e-35,2.920560467792876e-35,64,2.2309194418325644,116608
MCAR-Row,0.5,Mean,2,1.0026556890414975,0.7808957965736628,0.7808957965736629,0.05948588974856923,0.031933839904957934,0.017951911740167237,1.8404307674250412e-35,3.4541155057203726e-35,64,2.359456879337522,116608
MCAR,0.1,kNN,0,0.22205947937342735,0.13475602637938094,0.03658438632729073,0.012080416943322753,0.01794419879458876,0.010432320969622422,0.9491854280159593,0.04512225941817717,64,0.20195847368698575,23524
MCAR,0.1,kNN,1,0.21894481890577602,0.13555504307303692,0.03768085802007662,0.012521150412766857,0.018393511505407627,0.012957695176538551,0.9537732162207284,0.03651649953372248,64,0.20671171833643306,23256
MCAR,0.1,kNN,2,0.21745361873763921,0.13304962544768714,0.036130989421692336,0.014476757742559068,0.01608236889011256,0.012473335810859663,0.953035725183526,0.04871238088519757,64,0.17903452471966133,23365
MCAR,0.3,kNN,0,0.23272595205545007,0.14202444120907462,0.0328601483161339,0.015281728774300724,0.019762491402181052,0.009771349683966842,0.9416793847245801,0.0485968133558102,64,0.5140443191749173,69785
MCAR,0.3,kNN,1,0.23191859526491476,0.1423153808898029,0.034224585428054344,0.013698604445266781,0.02104202643873119,0.011147442821840865,0.9392528444981745,0.04829443250556988,64,0.5525078488621444,70218
MCAR,0.3,kNN,2,0.2299056368711437,0.14094984061008176,0.03136531005752459,0.014633407754105323,0.017462241410002938,0.010420764248148492,0.9448104617366283,0.04394439028841939,64,0.5827174584556175,70184
MCAR,0.5,kNN,0,0.2665117504491076,0.16194149420657367,0.04273102537248516,0.02223958041283693,0.028905686615774126,0.015318183244727621,0.9152055804869773,0.06406434162390098,64,1.1647260437681892,116819
MCAR,0.5,kNN,1,0.26925254741244575,0.16381933335752,0.04425332574977783,0.01871960219166403,0.030157702592071664,0.01284834208205777,0.9120037451375568,0.056846171796805435,64,1.2387611006593882,116827
MCAR,0.5,kNN,2,0.26616948072026947,0.16203548042651625,0.04159595593740462,0.018886809623276546,0.02772086341713438,0.012129773879774857,0.9173045363451542,0.056256068046961455,64,1.2049160458961516,116545
MAR,0.1,kNN,0,0.21081375882533895,0.13202400628255687,0.03518777242854147,0.011413113548276989,0.015023303075402623,0.010949413583408417,0.959321147023834,0.03792088213865927,64,0.1835810012161958,23448
MAR,0.1,kNN,1,0.2151339269167647,0.1335284811299756,0.036805064355151115,0.013345636902647267,0.018479675239161816,0.011919005378000573,0.9548412890958446,0.037102790775112526,64,0.1890326222259192,23263
MAR,0.1,kNN,2,0.21198377013350114,0.13095021481368366,0.03573229566804357,0.016943462544055796,0.016046979745208648,0.012585801221440115,0.9520819802493227,0.05749224801804545,64,0.1728192188622636,23447
MAR,0.3,kNN,0,0.22851114457106841,0.14129470969713254,0.03276968969714975,0.01607827911974049,0.02039239175623265,0.010930161938089534,0.9446259843309935,0.05176126691616907,64,0.5289920476363658,69778
MAR,0.3,kNN,1,0.2293312013059791,0.1425297947052719,0.03381815980563234,0.014082573400509306,0.020470685929212945,0.011547431645422823,0.9411299987878954,0.049465167427206275,64,0.5887416906716249,70272
MAR,0.3,kNN,2,0.227122340887861,0.14122384770477595,0.031564147791310164,0.01424595662567749,0.01762810227694918,0.009482432572346019,0.9472243531729299,0.04602960576585891,64,0.6045745730881484,70139
MAR,0.5,kNN,0,0.2717869732629987,0.16632610416544039,0.044687777758361386,0.02276359614527361,0.029276709268109477,0.014901217790442926,0.9086334863113006,0.0651763430790123,64,1.2468296378629895,116757
MAR,0.5,kNN,1,0.27679384638532195,0.16946936210696886,0.046855316829155745,0.020977261405186066,0.03172819478797963,0.014148113372341063,0.9028472660904742,0.061824423496201146,64,1.3560004771566219,116844
MAR,0.5,kNN,2,0.27240628686647,0.16741803448820528,0.04515512169822744,0.02132861318030919,0.0290141634060032,0.013653365325195399,0.9099229830053929,0.061466400947867254,64,1.3255717331048233,116538
MNAR,0.1,kNN,0,0.33106410029515937,0.20353355268662932,0.11046125265629486,0.08161583622160982,0.10515211919247884,0.08180811000654702,0.9165342759806121,0.09263795508098115,64,0.37793072586881216,23265
MNAR,0.1,kNN,1,0.33374360846638573,0.20698620534554021,0.1131813472657135,0.07142441560081164,0.10816503770733418,0.07052537412246088,0.9135605441643795,0.09187022296231585,64,0.40879061496625163,23421
MNAR,0.1,kNN,2,0.3261233419038774,0.20091534830859387,0.10893139017372003,0.08336982340277733,0.10394192265050446,0.08271670011492291,0.9188956484117914,0.09017486362330752,64,0.35618614490647205,23345
MNAR,0.3,kNN,0,0.474723931307091,0.28282219312051093,0.1940088111386168,0.08000080908846531,0.1916405545032012,0.07971590458093639,0.7337820381152067,0.13744386912307124,64,1.5677849930381322,69927
MNAR,0.3,kNN,1,0.46112961184318635,0.28001619940830397,0.1890291722635304,0.06892247846607659,0.18633392444162544,0.06868423014406952,0.741214148203456,0.1195150627319254,64,1.4670967418865837,70249
MNAR,0.3,kNN,2,0.4676567509367153,0.28097775867447433,0.18923733010368465,0.07128036325377576,0.1861649806559885,0.0709958073596732,0.7421184373574725,0.12922969520703884,64,1.4756251088890915,69962
MNAR,0.5,kNN,0,0.6297223068291624,0.37533338301125285,0.2742860968475199,0.06795204387257904,0.27085168112101676,0.0676032828273583,0.5305007296676805,0.1421140554291315,64,3.254471938774235,116682
MNAR,0.5,kNN,1,0.620421181967944,0.37154235966990146,0.268362789267793,0.06379835070982005,0.2647801472037582,0.06356464448884144,0.5401839274322545,0.1401740934374964,64,3.3221713815582934,116708
MNAR,0.5,kNN,2,0.6254388748169433,0.37248149808595304,0.27160483717574024,0.05971909750316445,0.2673352182103603,0.05908904121389432,0.5345263312940634,0.13929161008514457,64,3.31082319538559,116753
MCAR-Row,0.1,kNN,0,0.46119504354699725,0.287928921030486,0.10698051231758102,0.038211495660444766,0.030714876126118368,0.019712019826042405,0.8190680675566775,0.07143285158332141,64,0.30026787466060495,23296
MCAR-Row,0.1,kNN,1,0.4268601832072161,0.2673105007561624,0.08404106774458359,0.033940997764715056,0.01793955803328832,0.012381443421965857,0.8357319887269179,0.07686258338593797,64,0.33505772089492153,23296
MCAR-Row,0.1,kNN,2,0.4168592204324973,0.2597133411917753,0.08126207980322796,0.03411457045837401,0.02252490993031158,0.01575039967469685,0.837344270992724,0.06838744809445317,64,0.3154282032428863,23296
MCAR-Row,0.3,kNN,0,0.44171481315976885,0.27610132623935935,0.08745887410472133,0.036721515305065094,0.015105607051717833,0.012381092847151012,0.8186082360136573,0.0733314324504695,64,0.9287551712696788,69952
MCAR-Row,0.3,kNN,1,0.4466351482554616,0.2829608521652681,0.08637166919850765,0.0405711655804251,0.012190865402888554,0.010726627603067853,0.8418471712656572,0.08673294439435117,64,1.0047617111740905,69952
MCAR-Row,0.3,kNN,2,0.45353591715006647,0.2838901967599089,0.07978201939485471,0.03535902121462516,0.010225953125461523,0.008296632271221653,0.8343536479093048,0.06933011199114397,64,1.0185669257923746,69952
MCAR-Row,0.5,kNN,0,0.48476063172757544,0.3095863903988836,0.0880028977948622,0.03973348294770419,0.026827270761286128,0.017619358579482675,0.8017997970544704,0.0786872627990603,64,1.9399342855449386,116608
MCAR-Row,0.5,kNN,1,0.47983159617374677,0.3065483230800185,0.0961601536097453,0.04414210526279261,0.02280038840878829,0.014146121998851026,0.7894668688165293,0.08683127899196784,64,1.7894604178449327,116608
MCAR-Row,0.5,kNN,2,0.4947683315325008,0.3145034578672783,0.08631042653709073,0.042860787612451136,0.01060259769586336,0.007405725149194731,0.8258585435885843,0.09022144270121911,64,2.1685584490414582,116608
MCAR,0.1,GRAPE,0,0.22081320561922466,0.1471295683394495,0.06225140397991599,0.018709118897495474,0.0534833348882548,0.022074156978389017,0.9508140043713464,0.06081949469166675,64,0.22631972583213042,23524
MCAR,0.1,GRAPE,1,0.2103653185542477,0.14564312462706863,0.06479909095919131,0.020760871070851457,0.0371351650947576,0.028481128143566754,0.9340940816757815,0.030522153134501556,64,0.25412427814811417,23256
MCAR,0.1,GRAPE,2,0.38730697799042485,0.26623708529286505,0.13198464418186426,0.03332423695531355,0.10865566126079904,0.030290396411677262,0.8234731754002795,0.08825909244360795,64,0.697297258019556,23365
MCAR,0.3,GRAPE,0,0.22636326931281528,0.14774236884026168,0.04723303308226601,0.017514243261824713,0.017190494825985034,0.01585638193399576,0.915206325941341,0.04791545624816758,64,0.5928362596876027,69785
MCAR,0.3,GRAPE,1,0.21229716544673252,0.137713122912027,0.03480740187707362,0.015443257877603173,0.013245188389970092,0.010774323502169655,0.9673389033556304,0.0523279754928657,64,0.714029997997826,70218
MCAR,0.3,GRAPE,2,0.22153327759672872,0.14457940540045766,0.040887614097068245,0.017421448003851647,0.025346584103063338,0.014032839321903577,0.9868078531452845,0.039357806169266894,64,0.9471307538009776,70184
MCAR,0.5,GRAPE,0,0.23861476335115436,0.1624684614038882,0.06667973941657693,0.021391026946760434,0.037641205019114186,0.027160388724481774,0.9095620310254269,0.048874259748440146,64,1.2615514684824072,116819
MCAR,0.5,GRAPE,1,0.2349475292860882,0.15357770924237804,0.043381604763376644,0.0168302954572147,0.016921991101483562,0.016056435474977288,0.9201391186555953,0.04733857420373581,64,1.1649132485969091,116827
MCAR,0.5,GRAPE,2,0.239626329591704,0.15405528260612916,0.04267254139129123,0.024541696621094653,0.02605527849329522,0.024442729986299233,0.9779979649462087,0.03919132200840742,64,1.5804221528069449,116545
MAR,0.1,GRAPE,0,0.22249173026775604,0.1452611487098322,0.04616761047030877,0.01672672325664141,0.020000587582334865,0.01376204350277059,0.9615708713587963,0.05150260050214614,64,0.33298518894647494,23448
MAR,0.1,GRAPE,1,0.2269382964560222,0.14760862700718155,0.051559084567321736,0.015951642013210452,0.021171571556190327,0.013246147728391158,0.9320345664216961,0.03510916404337777,64,0.23189855572513582,23263
MAR,0.1,GRAPE,2,0.22111270941541877,0.14418374540743167,0.052177739078713425,0.015903170678921972,0.027115313378894324,0.01633029955891787,0.9416710756375748,0.048343035046105154,64,0.2685502471314414,23447
MAR,0.3,GRAPE,0,0.2233094211309338,0.14860008439738429,0.053866191286710656,0.02689192144513838,0.033750760415010815,0.02622863602974763,0.9584405828344508,0.04621835864796791,64,0.7805325505912626,69778
MAR,0.3,GRAPE,1,0.21382026836171916,0.14738545286257682,0.06563615505986992,0.026548000231362074,0.052522637592169706,0.028933786153092885,0.9490404324950269,0.05397360805471401,64,0.5999428067165926,70272
MAR,0.3,GRAPE,2,0.22520148321765837,0.1498611169818592,0.05866287804765134,0.033356898438665274,0.049521635298281144,0.03699623518183449,0.945501415300593,0.054723906694733884,64,0.6895288949944457,70139
MAR,0.5,GRAPE,0,0.23173884066212855,0.15066018134042272,0.03996660160414789,0.0176880056991057,0.01933184998050116,0.01230987657701316,0.9379693077955115,0.04673514417253631,64,1.148298816431302,116757
MAR,0.5,GRAPE,1,0.24096919626249247,0.15615118132718572,0.04656416159330681,0.018526183933340046,0.030670349645376467,0.015547076079333297,0.9050712248719012,0.04880844111347346,64,1.2377960519313937,116844
MAR,0.5,GRAPE,2,0.24762582714990075,0.16903203301688677,0.07437165497204007,0.033242473064703945,0.05765783655063334,0.04074724990070151,0.9249220836717482,0.04449614711188528,64,1.0656478208803322,116538
MNAR,0.1,GRAPE,0,0.276471275764121,0.18650023896038423,0.07454466090044166,0.06129894567061863,0.03747239234680881,0.05722075737664713,0.9503001875841588,0.09199374165802349,64,0.33173024706040233,23265
MNAR,0.1,GRAPE,1,0.3039602338579746,0.2030776977628471,0.11836965137312508,0.07074654497022306,0.10643953270183559,0.06655858916934478,0.9111849305400938,0.09479455562438704,64,0.33067951445968313,23421
MNAR,0.1,GRAPE,2,0.2734968902428576,0.1841061039728685,0.0794223023985253,0.0739000822266765,0.031742420198725786,0.06994243387787664,0.9426418099440831,0.09854877647570931,64,0.30182458766153974,23345
MNAR,0.3,GRAPE,0,0.3117983672039088,0.2022071786164578,0.1252493837687515,0.054289626365538815,0.12131742658460738,0.052408035240166816,0.876629708477715,0.09572763247255243,64,0.8280552136699522,69927
MNAR,0.3,GRAPE,1,0.3319675932859605,0.21452488938194186,0.12335214179547788,0.057356543944985634,0.11481435890450892,0.06043043285040607,0.8824735493700808,0.10449566047064626,64,0.9177627643233481,70249
MNAR,0.3,GRAPE,2,0.2857183306773404,0.1854841800461995,0.07069864448643312,0.051765733781782286,0.039795768330511565,0.05257736262249069,0.9176025581794902,0.0937220530878369,64,0.8115362997943734,69962
MNAR,0.5,GRAPE,0,0.3580141056100461,0.21880422835268415,0.10947460483530416,0.05813747958024691,0.0911323696895289,0.058370992413390804,0.8301273026903089,0.12647207691520648,64,1.362675154363082,116682
MNAR,0.5,GRAPE,1,0.34806796186550676,0.21703908158871626,0.09842862039792746,0.05698446960756227,0.05759618266892867,0.05288013664503952,0.8376637639865651,0.13354893811138457,64,1.6384716931380447,116708
MNAR,0.5,GRAPE,2,0.3514852139495085,0.2162096820828976,0.11048686625982254,0.048477039516657404,0.09336782540709093,0.04901027611154571,0.8162443407044214,0.11599470021293959,64,1.5376905789206328,116753
MCAR-Row,0.1,GRAPE,0,1.7408701585142012,1.4513506865250585,1.2407869204373143,0.5710634347223003,1.0341223096693766,0.7407971535957866,0.5098216577929943,0.5875833750545386,64,2.8635527841725557,23296
MCAR-Row,0.1,GRAPE,1,1.212604253016019,0.8382960070662991,0.6363998841833136,0.27368711030419424,0.5920576031878169,0.31068383102809694,0.4264155186856906,0.37651428846732465,64,3.277312567108054,23296
MCAR-Row,0.1,GRAPE,2,1.1037450806130324,0.8366674869257538,0.5625140609637547,0.2828919040477774,0.3280870759821749,0.3462068114012866,0.37913729813537655,0.3929414868899512,64,2.5526657017071326,23296
MCAR-Row,0.3,GRAPE,0,2.1145697912470065,1.7232837516197805,1.5639557721276132,0.8890061017371986,1.429418325319351,1.0199432925755438,0.37121332551830877,0.1898442641766795,64,11.395477579346247,69952
MCAR-Row,0.3,GRAPE,1,1.1772024445463203,0.8420657165560255,0.5480556914176242,0.23116240166588412,0.30150489311367845,0.30561057528305446,0.30910727061916393,0.3622354956340165,64,5.01755628322306,69952
MCAR-Row,0.3,GRAPE,2,1.5644867434703815,1.2055077916198913,0.9270261701247795,0.5279782557800813,0.6869196730196938,0.6837848150088044,0.33936369598536115,0.46838724439707363,64,8.273073133032948,69952
MCAR-Row,0.5,GRAPE,0,1.830304491428444,1.5093074948695515,1.326590943553771,0.5075791845998766,1.2018034447863606,0.616787486329468,0.60503778640532,0.5587174220001658,64,13.715616339313579,116608
MCAR-Row,0.5,GRAPE,1,1.3648363409730107,0.974050590530707,0.8135003705628708,0.39131523077031577,0.7230065970028084,0.4715838792288302,0.23709228393043924,0.26657685276426524,64,14.811081615235038,116608
MCAR-Row,0.5,GRAPE,2,1.342873741929861,1.0826526432504913,0.8854747145994301,0.36790076576628616,0.6854174956368786,0.5260614349719521,0.3100207817178857,0.2677253642124912,64,8.421633731281727,116608
MCAR,0.1,MICE,0,0.18689708091834378,0.11453869936964971,0.03205521998653724,0.014427833250571854,0.007538309009710808,0.0061834515869583035,0.9709005605881267,0.04021373291230111,64,0.16024666013868946,23524
MCAR,0.1,MICE,1,0.18894990957576163,0.11524892868811093,0.032109214917273976,0.01525142617869966,0.007971438805838383,0.009099381275418518,0.9751549698122799,0.027954262018504546,64,0.17317162097377767,23256
MCAR,0.1,MICE,2,0.1886634719123316,0.11575106635031943,0.033171156508121226,0.013036218295975557,0.008256242985975779,0.0059372432537142875,0.9749906963295145,0.03657205919455197,64,0.14383346283636642,23365
MCAR,0.1,SoftImpute,0,0.21753648065955125,0.13963961390238386,0.08127066651033985,0.04310318516117509,0.007454156417450737,0.005875113139232083,0.8236522009685853,0.08676783057672108,64,0.3609559868589794,23524
MCAR,0.1,SoftImpute,1,0.2155798421894115,0.1405183441843224,0.0815152641041251,0.04232030701922386,0.008088548656741287,0.00784687887303871,0.826425757553903,0.08093380759655419,64,0.364567232819002,23256
MCAR,0.1,SoftImpute,2,0.2161609450841326,0.14034348302812202,0.08255036471123531,0.04507981895650682,0.008536435058924003,0.0059255573875626215,0.8281522116799463,0.09017275933832047,64,0.3317451324918479,23365
MCAR,0.1,HyperImpute,0,0.18503635254235423,0.11332007876949922,0.03139541300786029,0.014023736559653558,0.007466272748149181,0.0058562257960910235,0.9698478526164915,0.03880656584264895,64,0.15559128573389416,23524
MCAR,0.1,HyperImpute,1,0.18926818777205287,0.115203930262894,0.03168121774384381,0.01494906360447167,0.007990504686508009,0.00915372002333069,0.9750619475129357,0.02633192439645325,64,0.17096239320459466,23256
MCAR,0.1,HyperImpute,2,0.18892230336381324,0.11575003536402569,0.032839883361874184,0.012830778405094173,0.008261141172582823,0.005909620811903701,0.975056984030799,0.03551702740871951,64,0.14215930816204136,23365
MCAR,0.1,DiffPuter,0,0.20137398503573528,0.1229131790115511,0.04093369722232841,0.012323490968710049,0.024184961156220763,0.017576685298562704,0.9752533948448161,0.04046783272019979,64,0.17200450202980846,23524
MCAR,0.1,DiffPuter,1,0.21476272765641868,0.13147462616273992,0.045229378270822976,0.018671745887837075,0.025513190392628025,0.024558734109246638,0.9992026132677291,0.04881511113430612,64,0.20405812648383712,23256
MCAR,0.1,DiffPuter,2,0.20733917742712465,0.12694448911230405,0.04108312504116281,0.012568009391444363,0.02347403624434643,0.01916835199822208,1.0075428935450397,0.04833373870766499,64,0.1591741918362257,23365
MCAR,0.3,MICE,0,0.245753241617113,0.1548465999560076,0.04976175040802602,0.01846858165278886,0.006917760464220925,0.007354522038673784,0.9080031974354374,0.04111922950952203,64,0.3758892287844027,69785
MCAR,0.3,MICE,1,0.2517317709123854,0.15729694931477264,0.050811543419565355,0.01802571901011855,0.006548008711019313,0.006475418340669634,0.9053738617030935,0.03517421304372217,64,0.3523218553715548,70218
MCAR,0.3,MICE,2,0.24543240540006162,0.15498157329560666,0.0506292274400799,0.01879562634539905,0.0066597951353215765,0.005450550408004023,0.9100261936165879,0.03482757939690896,64,0.38280781181381646,70184
MCAR,0.3,SoftImpute,0,0.2539106617862532,0.16544154337547523,0.09797062881578411,0.051359193522128095,0.005440679013234622,0.004450729244075701,0.783772073878954,0.09424863437295702,64,1.2055520441603833,69785
MCAR,0.3,SoftImpute,1,0.2563442506184986,0.16641550818679882,0.09854163154428439,0.04973502291127477,0.0049268652838901405,0.004455838721509313,0.782045039781964,0.092048440559871,64,1.2727471651329665,70218
MCAR,0.3,SoftImpute,2,0.2555151166427827,0.16635420478826615,0.09947899692736042,0.05185193340239308,0.005342978472543043,0.005470618635974927,0.783501743338697,0.09404152674501487,64,1.2344620070375758,70184
MCAR,0.3,HyperImpute,0,0.23489298012852755,0.14823305709320592,0.029978597436263167,0.013888764150082292,0.006881397925321301,0.00699575858446609,0.9680176666644975,0.032983762599193785,64,0.3075471370692678,69785
MCAR,0.3,HyperImpute,1,0.239026808759236,0.15060471992789276,0.03013317270791968,0.012536413411621029,0.006980446548444365,0.006601623876337249,0.96513471186145,0.031812972386594814,64,0.31619862867644305,70218
MCAR,0.3,HyperImpute,2,0.2441724541489491,0.15514446828687864,0.03096356788098522,0.012666934494217994,0.006726061396454686,0.005935066394157476,0.974782078685865,0.023591775153960288,64,0.3002567015738136,70184
MCAR,0.3,DiffPuter,0,0.22380042220973184,0.1344825512029016,0.03453820069864397,0.01441461170081521,0.021177869464646015,0.01836318147319489,0.9755683395815369,0.052296239205283174,64,0.42151684394024497,69785
MCAR,0.3,DiffPuter,1,0.23093388931049377,0.13881481696910458,0.03977174546639841,0.017637352706444617,0.02700304664443865,0.02242312079432265,0.9796962948324588,0.0506710097361517,64,0.5141071600305576,70218
MCAR,0.3,DiffPuter,2,0.22974206458231713,0.13921779855717717,0.036664764160601,0.010707975357185342,0.02076570523593258,0.014640768359685958,0.9808506885998085,0.04180463678167249,64,0.47394673180877833,70184
MCAR,0.5,MICE,0,0.34465731235741176,0.22494705233041568,0.11124010753955307,0.043634665805452805,0.007996280317863355,0.007259598719688229,0.7794026037177209,0.07561233845343503,64,0.9573683062274567,116819
MCAR,0.5,MICE,1,0.3525590544318806,0.23094479336810397,0.11575057883169722,0.04401609900592583,0.009809888284192287,0.007930200745164621,0.7710991215689529,0.07011002895085718,64,1.0267911885024859,116827
